"Registro ANS",CNPJ,"Razão Social","Nome Fantasia",Modalidade,Logradouro,Número,Complemento,Bairro,Cidade,UF,CEP,DDD,Telefone,Fax,"Endereço eletrônico",Representante,"Cargo Representante","Data Registro ANS",DATA,REG_ANS,CD_CONTA_CONTABIL,DESCRICAO,VL_SALDO_FINAL
318035,"2,63E+13","UNIMED GUAXUPÉ COOPERATIVA DE TRABALHO MEDICO","UNIMED GUAXUPÉ","Cooperativa Médica","RUA CORONEL ANTONIO COSTA",306,,CENTRO,Guaxupé,MG,37800000,35,35596000,35596168,ans@unimedguaxupe.coop.br,"NICOLAU BALBINO NETO","DIRETOR PRESIDENTE",18/12/1998,01/10/2019,318035,41191,"EVENTOS/ SINISTROS CONHECIDOS OU AVISADOS  DE ASSISTÊNCIA A SAÚDE MEDICO HOSPITALAR ","999999,42"
310247,"8,86E+13","CIRCULO OPERARIO CAXIENSE","CIRCULO OPERARIO CAXIENSE","Medicina de Grupo","RUA VISCONDE DE PELOTAS",809,,CENTRO,"Caxias do Sul",RS,95020181,54,21010000,542233491,circulo@circulosaude.com.br,"FRANCISCO JOSE CALERO COSTA FILHO",REPRESENTANTE,24/12/1998,01/10/2019,310247,41121,"EVENTOS/ SINISTROS CONHECIDOS OU AVISADOS  DE ASSISTÊNCIA A SAÚDE MEDICO HOSPITALAR ","9988007,61"
324213,"9,24E+12","UNIMED NORTE/NORDESTE-FEDERAÇÃO INTERFEDERATIVA DAS SOCIEDADES COOPERATIVAS DE TRABALHO MÉDICO","UNIMED NORTE/NORDESTE","Cooperativa Médica","AV. CARNEIRO DA CUNHA",64,,TORRE,"João Pessoa",PB,58040020,83,30482500,30482750,operadora@unimed-nne.com.br,"VICENTE JUSTINIANO BARBOSA NETO","REPRESENTANTE LEGAL JUNTO A ANS",18/12/1998,01/10/2019,324213,41111,"EVENTOS/ SINISTROS CONHECIDOS OU AVISADOS  DE ASSISTÊNCIA A SAÚDE MEDICO HOSPITALAR ","99874738,14"
415111,"4,30E+12","BIOVIDA SAÚDE LTDA.","BIOVIDA SAÚDE","Medicina de Grupo","RUA BARÃO DE ITAPETININGA",151,"2º ANDAR - CONJUNTO 22",REPÚBLICA,"São Paulo",SP,1042001,11,35092230,65217799,biovidasaude@biovidasaude.com.br,"CARLOS ALBERTO DE ALMEIDA CAMPOS",ADMINISTRADOR,16/02/2005,01/10/2019,415111,41181,"EVENTOS/ SINISTROS CONHECIDOS OU AVISADOS  DE ASSISTÊNCIA A SAÚDE MEDICO HOSPITALAR ","9986310,09"
364860,"8,52E+13","UNIMED DE TUBARAO - COOPERATIVA DE TRABALHO MEDICO DA REGIAO DA AMUREL","UNIMED DE TUBARAO","Cooperativa Médica","AV MARCOLINO MARTINS CABRAL",2300,,AEROPORTO,Tubarão,SC,88705002,48,36210240,36210201,secretaria.diretoria@unimedtubarao.com.br,"ANDRÉ LUZ GUEDES",PRESIDENTE,17/12/1998,01/10/2019,364860,41111,"EVENTOS/ SINISTROS CONHECIDOS OU AVISADOS  DE ASSISTÊNCIA A SAÚDE MEDICO HOSPITALAR ","99831254,17"
303976,"4,20E+12","UNIMED BELÉM COOPERATIVA DE TRABALHO MÉDICO","UNIMED BELÉM","Cooperativa Médica","TRAVESSA CURUZÚ",2212,,MARCO,Belém,PA,66085823,91,40095272,40095260,ans@unimedbelem.com.br,"ANTONIO DELDUQUE DE ARAUJO TRAVESSA","DIRETOR GERAL",18/12/1998,01/10/2019,303976,41191,"EVENTOS/ SINISTROS CONHECIDOS OU AVISADOS  DE ASSISTÊNCIA A SAÚDE MEDICO HOSPITALAR ","996364093,6"
413267,"4,23E+12","PREVENT SENIOR CORPORATE OPERADORA DE SAÚDE LTDA.",,"Medicina de Grupo","AVENIDA BRIGADEIRO LUIZ ANTONIO",3521,"14º ANDAR","JARDIM PAULISTA","São Paulo",SP,1401001,1,131479192,131479191,juridico.rs@preventsenior.com.br,"EDUARDO FAGUNDES PARRILLO",ADMINISTRADOR,07/03/2001,01/10/2019,413267,41111,"EVENTOS/ SINISTROS CONHECIDOS OU AVISADOS  DE ASSISTÊNCIA A SAÚDE MEDICO HOSPITALAR ","995116,72"
368253,"6,36E+13","HAPVIDA ASSISTENCIA MEDICA S.A.",HAPVIDA,"Medicina de Grupo","AV HERÁCLITO GRAÇA",406,"2º ANDAR",CENTRO,Fortaleza,CE,60140060,85,32559189,,cians@hapvida.com.br,"FABIO LUCIANO GOMES SELHORST","VICE-PRESIDENTE DE ASSUNTOS CORPORATIVOS",17/12/1998,01/10/2019,368253,41171,"EVENTOS/ SINISTROS CONHECIDOS OU AVISADOS  DE ASSISTÊNCIA A SAÚDE MEDICO HOSPITALAR ","993798,73"
331317,"3,43E+13","REAL GRANDEZA - FUNDAÇÃO DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL",,Autogestão,"RUA MENA BARRETO",143,,BOTAFOGO,"Rio de Janeiro",RJ,22271100,21,25286912,25286938,pablo@frg.com.br,"PABLO VIEIRA DE CASTRO ",REPRESENTANTE,05/01/1999,01/10/2019,331317,41181,"EVENTOS/ SINISTROS CONHECIDOS OU AVISADOS  DE ASSISTÊNCIA A SAÚDE MEDICO HOSPITALAR ","993678,43"
328073,"5,38E+13","UNIMED DE VOTUPORANGA - COOPERATIVA DE TRABALHO MÉDICO","UNIMED DE VOTUPORANGA","Cooperativa Médica","RUA RIO DE JANEIRO",3260,,"PATRIMÔNIO VELHO",Votuporanga,SP,15505165,17,34059494,34059499,secretaria@unimedvotuporanga.com.br,"OSMAR ALECIO DAN",PRESIDENTE,18/12/1998,01/10/2019,328073,41151,"EVENTOS/ SINISTROS CONHECIDOS OU AVISADOS  DE ASSISTÊNCIA A SAÚDE MEDICO HOSPITALAR ","9928253,79"
